Date Opened,Time Opened,Opening Price,Legs,Premium,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close,P/L,No. of Contracts,Funds at Close,Margin Req.,Strategy,Opening Commissions + Fees,Closing Commissions + Fees,Opening Short/Long Ratio,Closing Short/Long Ratio,Opening VIX,Closing VIX,Gap,Movement,Max Profit,Max Loss
"2023-11-01","13:36:00",4205.16,"1 Nov 1 4205 P STO 13.60 | 1 Nov 1 4205 C STO 14.15 | 1 Nov 1 4110 P BTO 0.15 | 1 Nov 1 4280 C BTO 0.15",2745,4209.71,"2023-11-01","14:44:00",2205,"Profit Target",534.8,1,158837.8,6755,"",2.6,2.6,92.5,148,17.62,17.4,7.47,3.89,19.67,-7.29
"2023-11-01","09:33:00",4201.45,"1 Nov 1 4200 P STO 16.80 | 1 Nov 1 4200 C STO 17.90 | 1 Nov 1 4080 P BTO 0.15 | 1 Nov 1 4290 C BTO 0.15",3440,4204.82,"2023-11-01","13:35:00",2785,"Profit Target",649.8,1,158303,8560,"",2.6,2.6,115.67,186.67,17.86,17.63,7.47,0.18,19.04,-17.88
"2023-10-31","11:57:00",4169.45,"1 Oct 31 4170 P STO 8.30 | 1 Oct 31 4170 C STO 7.95 | 1 Oct 31 4105 P BTO 0.15 | 1 Oct 31 4220 C BTO 0.15",1595,4187.38,"2023-10-31","13:43:00",1995,"Stop Loss",-405.2,1,157653.2,4905,"",2.6,2.6,54.17,80.8,19.07,18.46,4.51,-1.88,6.9,-25.08
"2023-10-31","10:30:00",4167.94,"1 Oct 31 4170 P STO 11.40 | 1 Oct 31 4170 C STO 9.50 | 1 Oct 31 4085 P BTO 0.10 | 1 Oct 31 4230 C BTO 0.15",2065,4169.21,"2023-10-31","11:56:00",1630,"Profit Target",429.8,1,158058.4,6435,"",2.6,2.6,83.6,82.5,19.33,19.08,4.51,-3.39,21.07,-5.33
"2023-10-31","09:33:00",4167.92,"1 Oct 31 4170 P STO 14.10 | 1 Oct 31 4170 C STO 12.00 | 1 Oct 31 4050 P BTO 0.10 | 1 Oct 31 4245 C BTO 0.15",2585,4167.17,"2023-10-31","10:29:00",2075,"Profit Target",504.8,1,157628.6,9415,"",2.6,2.6,104.4,139.33,19.62,19.36,4.51,-3.41,19.73,-5.22
"2023-10-30","12:49:00",4140.48,"1 Oct 30 4140 P STO 8.90 | 1 Oct 30 4140 C STO 9.40 | 1 Oct 30 4070 P BTO 0.10 | 1 Oct 30 4195 C BTO 0.10",1810,4161.14,"2023-10-30","13:30:00",2410,"Stop Loss",-605.2,1,157123.8,5190,"",2.6,2.6,91.5,61.25,20.44,19.85,22.02,1.09,3.04,-33.15
"2023-10-30","10:53:00",4144.12,"1 Oct 30 4145 P STO 11.70 | 1 Oct 30 4145 C STO 10.90 | 1 Oct 30 4060 P BTO 0.15 | 1 Oct 30 4210 C BTO 0.15",2230,4141.47,"2023-10-30","12:48:00",1745,"Profit Target",479.8,1,157729,6270,"",2.6,2.6,75.33,88.25,20.53,20.41,22.02,4.73,21.75,-0.9
"2023-10-30","09:33:00",4151.83,"1 Oct 30 4150 P STO 13.30 | 1 Oct 30 4150 C STO 15.60 | 1 Oct 30 4035 P BTO 0.15 | 1 Oct 30 4240 C BTO 0.15",2860,4144.44,"2023-10-30","10:52:00",2285,"Profit Target",569.8,1,157249.2,8640,"",2.6,2.6,96.33,153.33,20.43,20.54,22.02,12.44,20.1,-1.22
"2023-10-27","12:39:00",4139.55,"1 Oct 27 4140 P STO 9.35 | 1 Oct 27 4140 C STO 9.05 | 1 Oct 27 4080 P BTO 0.15 | 1 Oct 27 4200 C BTO 0.15",1810,4119.96,"2023-10-27","13:07:00",2435,"Stop Loss",-630.2,1,156679.4,4190,"",2.6,2.6,61.33,35.79,20.16,20.96,15.7,-13.38,0.83,-34.53
"2023-10-27","11:00:00",4146.01,"1 Oct 27 4145 P STO 11.10 | 1 Oct 27 4145 C STO 12.60 | 1 Oct 27 4060 P BTO 0.15 | 1 Oct 27 4230 C BTO 0.10",2345,4139.88,"2023-10-27","12:38:00",1870,"Profit Target",469.8,1,157309.6,6155,"",2.6,2.6,94.8,125.67,19.99,20.14,15.7,-6.92,20.26,-1.71
"2023-10-27","09:33:00",4154.2,"1 Oct 27 4155 P STO 16.10 | 1 Oct 27 4155 C STO 14.75 | 1 Oct 27 4030 P BTO 0.10 | 1 Oct 27 4255 C BTO 0.10",3065,4145.15,"2023-10-27","10:59:00",2450,"Profit Target",609.8,1,156839.8,9435,"",2.6,2.6,154.25,164.33,20.14,20.03,15.7,1.27,20.07,-5.38
"2023-10-26","10:52:00",4177.59,"1 Oct 26 4180 P STO 13.95 | 1 Oct 26 4180 C STO 11.10 | 1 Oct 26 4085 P BTO 0.10 | 1 Oct 26 4265 C BTO 0.10",2485,4155.61,"2023-10-26","11:25:00",3115,"Stop Loss",-635.2,1,156230,7015,"",2.6,2.6,125.25,125.6,20.44,21.08,-10.78,1.6,2.82,-25.35
"2023-10-26","09:33:00",4180.11,"1 Oct 26 4180 P STO 15.00 | 1 Oct 26 4180 C STO 16.40 | 1 Oct 26 4055 P BTO 0.10 | 1 Oct 26 4285 C BTO 0.10",3120,4176.15,"2023-10-26","10:51:00",2510,"Profit Target",604.8,1,156865.2,9380,"",2.6,2.6,157,168.33,20.73,20.49,-10.78,4.12,19.55,-9.13
"2023-10-25","09:33:00",4222.84,"1 Oct 25 4225 P STO 13.40 | 1 Oct 25 4225 C STO 12.95 | 1 Oct 25 4140 P BTO 0.15 | 1 Oct 25 4300 C BTO 0.15",2605,4193.38,"2023-10-25","13:03:00",3335,"Stop Loss",-735.2,1,156260.4,5895,"",2.6,2.6,87.83,75.11,19.28,20.58,-15.26,-9.58,16.51,-28.02
"2023-10-24","11:19:00",4249.67,"1 Oct 24 4250 P STO 9.75 | 1 Oct 24 4250 C STO 9.75 | 1 Oct 24 4155 P BTO 0.10 | 1 Oct 24 4305 C BTO 0.15",1925,4228.79,"2023-10-24","12:25:00",2500,"Stop Loss",-580.2,1,156995.6,7575,"",2.6,2.6,78,101,19.44,19.87,18.75,13.88,5.19,-29.87
"2023-10-24","09:33:00",4240.65,"1 Oct 24 4240 P STO 12.80 | 1 Oct 24 4240 C STO 14.10 | 1 Oct 24 4140 P BTO 0.15 | 1 Oct 24 4310 C BTO 0.15",2660,4247.78,"2023-10-24","11:18:00",2150,"Profit Target",504.8,1,157575.8,7340,"",2.6,2.6,89.67,108.5,19.73,19.49,18.75,4.86,19.17,-2.63
"2023-10-23","09:33:00",4204.85,"1 Oct 23 4205 P STO 14.30 | 1 Oct 23 4205 C STO 15.00 | 1 Oct 23 4095 P BTO 0.10 | 1 Oct 23 4295 C BTO 0.15",2905,4237.91,"2023-10-23","11:34:00",3685,"Stop Loss",-785.2,1,157071,8095,"",2.6,2.6,117.2,148.4,21.99,20.16,-13.76,-5.55,3.44,-26.85
"2023-10-20","09:33:00",4267.73,"1 Oct 20 4270 P STO 16.40 | 1 Oct 20 4270 C STO 14.20 | 1 Oct 20 4145 P BTO 0.15 | 1 Oct 20 4365 C BTO 0.15",3030,4239.14,"2023-10-20","10:45:00",3850,"Stop Loss",-825.2,1,157856.2,9470,"",2.6,2.6,102,155,21.18,21.65,-4.15,-6.12,4.95,-27.06
"2023-10-19","12:05:00",4325.99,"1 Oct 19 4325 P STO 11.25 | 1 Oct 19 4325 C STO 12.35 | 1 Oct 19 4235 P BTO 0.15 | 1 Oct 19 4395 C BTO 0.15",2330,4299,"2023-10-19","12:35:00",3200,"Stop Loss",-875.2,1,158681.4,6670,"",2.6,2.6,78.67,72.11,19.03,19.97,6.76,4.63,4.29,-37.34
"2023-10-19","09:33:00",4326.04,"1 Oct 19 4325 P STO 15.05 | 1 Oct 19 4325 C STO 15.40 | 1 Oct 19 4205 P BTO 0.10 | 1 Oct 19 4410 C BTO 0.15",3020,4329.31,"2023-10-19","12:04:00",2425,"Profit Target",589.8,1,159556.6,8980,"",2.6,2.6,121.8,122.25,19.04,18.91,6.76,4.68,19.7,-19.87
"2023-10-18","09:33:00",4352.98,"1 Oct 18 4355 P STO 13.80 | 1 Oct 18 4355 C STO 11.70 | 1 Oct 18 4260 P BTO 0.15 | 1 Oct 18 4425 C BTO 0.15",2520,4325.45,"2023-10-18","13:01:00",3220,"Stop Loss",-705.2,1,158966.8,6980,"",2.6,2.6,85,129.8,18.5,19.83,-15.85,-4.37,16.87,-27.78
"2023-10-17","09:33:00",4344.44,"1 Oct 17 4345 P STO 11.65 | 1 Oct 17 4345 C STO 12.90 | 1 Oct 17 4250 P BTO 0.15 | 1 Oct 17 4415 C BTO 0.15",2425,4371.33,"2023-10-17","11:18:00",3070,"Stop Loss",-650.2,1,159672,7075,"",2.6,2.6,81.83,77.75,18.08,17.47,-28.4,-0.79,4.54,-26.6
"2023-10-16","09:33:00",4353.39,"1 Oct 16 4355 P STO 12.40 | 1 Oct 16 4355 C STO 11.30 | 1 Oct 16 4230 P BTO 0.15 | 1 Oct 16 4420 C BTO 0.15",2340,4378.8,"2023-10-16","10:33:00",3050,"Stop Loss",-715.2,1,160322.2,10160,"",2.6,2.6,79,51.83,18.22,17.31,14.59,11.02,4.06,-30.34
"2023-10-10","09:33:00",4344.78,"1 Oct 10 4345 P STO 11.40 | 1 Oct 10 4345 C STO 10.50 | 1 Oct 10 4250 P BTO 0.10 | 1 Oct 10 4405 C BTO 0.15",2165,4365.12,"2023-10-10","10:28:00",2760,"Stop Loss",-600.2,1,161037.4,7335,"",2.6,2.6,87.6,43.46,17.36,16.81,4.09,5.03,0,-27.48
"2023-10-09","10:57:00",4286.05,"1 Oct 9 4285 P STO 9.75 | 1 Oct 9 4285 C STO 10.80 | 1 Oct 9 4215 P BTO 0.15 | 1 Oct 9 4355 C BTO 0.10",2030,4306.95,"2023-10-09","12:08:00",2545,"Stop Loss",-520.2,1,161637.6,4970,"",2.6,2.6,82.2,128.25,18.87,18.21,-19.48,-2.97,5.67,-25.37
"2023-10-09","09:33:00",4289.63,"1 Oct 9 4290 P STO 13.20 | 1 Oct 9 4290 C STO 11.90 | 1 Oct 9 4195 P BTO 0.10 | 1 Oct 9 4365 C BTO 0.15",2485,4287.36,"2023-10-09","10:56:00",2005,"Profit Target",474.8,1,162157.8,7015,"",2.6,2.6,100.4,101.25,18.66,18.84,-19.48,0.61,19.32,-4.02
"2023-10-06","10:26:00",4238.55,"1 Oct 6 4240 P STO 13.40 | 1 Oct 6 4240 C STO 12.20 | 1 Oct 6 4135 P BTO 0.10 | 1 Oct 6 4320 C BTO 0.15",2535,4266.78,"2023-10-06","11:27:00",3210,"Stop Loss",-680.2,1,161683,7965,"",2.6,2.6,102.4,92.71,19.01,18.16,-23.4,3.76,4.34,-26.63
"2023-10-06","09:33:00",4240.71,"1 Oct 6 4240 P STO 15.80 | 1 Oct 6 4240 C STO 16.10 | 1 Oct 6 4125 P BTO 0.15 | 1 Oct 6 4335 C BTO 0.10",3165,4238.61,"2023-10-06","10:25:00",2540,"Profit Target",619.8,1,162363.2,8335,"",2.6,2.6,127.6,128,19,19.01,-23.4,5.92,19.75,-3.79
"2023-10-05","09:33:00",4260.2,"1 Oct 5 4260 P STO 12.85 | 1 Oct 5 4260 C STO 12.65 | 1 Oct 5 4160 P BTO 0.10 | 1 Oct 5 4330 C BTO 0.15",2525,4231.31,"2023-10-05","10:41:00",3265,"Stop Loss",-745.2,1,161743.4,7475,"",2.6,2.6,102,131.6,18.41,19.38,-4.44,0.89,7.72,-29.31
"2023-10-04","13:28:00",4241.72,"1 Oct 4 4240 P STO 6.85 | 1 Oct 4 4240 C STO 8.45 | 1 Oct 4 4165 P BTO 0.15 | 1 Oct 4 4285 C BTO 0.10",1505,4240.58,"2023-10-04","14:41:00",1200,"Profit Target",299.8,1,162488.6,5995,"",2.6,2.6,61.2,81,19.09,19.02,4.38,7.89,20.27,0
"2023-10-04","11:13:00",4234.42,"1 Oct 4 4235 P STO 10.80 | 1 Oct 4 4235 C STO 9.90 | 1 Oct 4 4155 P BTO 0.15 | 1 Oct 4 4290 C BTO 0.15",2040,4241.76,"2023-10-04","13:27:00",1645,"Profit Target",389.8,1,162188.8,5960,"",2.6,2.6,69,83.25,19.32,19.09,4.38,0.59,19.36,-24.26
